iso,unix,eui,x,y,z,dx,dy,dz,ecef_x,ecef_y,ecef_z,wgs84_lat,wgs84_lon,wgs84_alt,wgs84_heading,wgs84_speed
2017-04-24_10-43-51,1493030631.046850,deca010000000004,1.982,2.004,0.473,0.178,0.331,-0.084,51.491473960572,7.412271250978,0.473,63.492,0.007,
2017-04-24_10-43-51,1493030631.050494,deca010000000005,1.403,0.212,0.463,0.348,0.461,-0.131,51.491463795951,7.412249567952,0.463,72.248,0.012,
2017-04-24_10-43-51,1493030631.058561,deca010000000004,1.970,2.005,0.467,0.128,0.320,-0.101,51.491474029058,7.412271116795,0.467,56.999,0.004,
2017-04-24_10-43-51,1493030631.061462,deca010000000003,0.849,-1.765,0.419,0.648,-0.199,-0.242,51.491452148772,7.412226652994,0.419,142.226,0.025,
2017-04-24_10-43-51,1493030631.073550,deca010000000003,0.845,-1.743,0.403,0.605,-0.118,-0.288,51.491452328459,7.412226773498,0.403,136.221,0.007,
2017-04-24_10-43-51,1493030631.074940,deca010000000005,1.398,0.216,0.452,0.296,0.437,-0.158,51.491463858572,7.412249544743,0.452,69.259,0.013,
2017-04-24_10-43-51,1493030631.085347,deca010000000004,1.965,2.014,0.458,0.099,0.322,-0.122,51.491474128408,7.412271138011,0.458,52.186,0.009,
2017-04-24_10-43-51,1493030631.089321,deca010000000005,1.393,0.204,0.443,0.259,0.367,-0.183,51.491463796936,7.412249380317,0.443,70.334,0.006,
2017-04-24_10-43-51,1493030631.096646,deca010000000003,0.832,-1.730,0.384,0.519,-0.063,-0.328,51.491452489849,7.412226732802,0.384,132.158,0.012,
2017-04-24_10-43-51,1493030631.099917,deca010000000004,1.956,2.002,0.451,0.064,0.267,-0.140,51.491474085001,7.412270931970,0.451,48.645,0.004,
2017-04-24_10-43-51,1493030631.111892,deca010000000003,0.813,-1.716,0.367,0.427,-0.009,-0.363,51.491452698417,7.412226627193,0.367,126.427,0.007,
2017-04-24_10-43-51,1493030631.115265,deca010000000004,1.947,1.996,0.442,0.029,0.231,-0.158,51.491474090998,7.412270770607,0.442,42.241,0.004,
2017-04-24_10-43-51,1493030631.115265,deca010000000005,1.378,0.201,0.431,0.185,0.327,-0.207,51.491463851263,7.412249184611,0.431,64.610,0.010,
2017-04-24_10-43-51,1493030631.126984,deca010000000003,0.810,-1.710,0.348,0.398,0.011,-0.406,51.491452755499,7.412226645553,0.348,123.644,0.006,
2017-04-24_10-43-51,1493030631.130625,deca010000000004,1.941,1.989,0.434,0.007,0.196,-0.176,51.491474066357,7.412270634505,0.434,37.324,0.003,
2017-04-24_10-43-51,1493030631.134502,deca010000000005,1.366,0.193,0.420,0.130,0.275,-0.229,51.491463850317,7.412248975421,0.420,60.470,0.006,
2017-04-24_10-43-51,1493030631.145598,deca010000000004,1.937,1.974,0.424,-0.004,0.142,-0.194,51.491473979655,7.412270479110,0.424,33.555,0.002,
2017-04-24_10-43-51,1493030631.149772,deca010000000003,0.795,-1.703,0.326,0.320,0.034,-0.438,51.491452882838,7.412226524076,0.326,119.172,0.007,
2017-04-24_10-43-51,1493030631.159404,deca010000000004,1.925,1.963,0.416,-0.043,0.099,-0.210,51.491473959823,7.412270237264,0.416,11.539,0.001,
2017-04-24_10-43-51,1493030631.160681,deca010000000005,1.351,0.186,0.406,0.069,0.232,-0.254,51.491463880784,7.412248747090,0.406,51.757,0.006,
2017-04-24_10-43-51,1493030631.171506,deca010000000003,0.785,-1.700,0.304,0.271,0.042,-0.478,51.491452956795,7.412226426814,0.304,116.287,0.006,
2017-04-24_10-43-51,1493030631.179161,deca010000000004,1.921,1.954,0.405,-0.054,0.067,-0.229,51.491473916854,7.412270113516,0.405,355.958,0.002,
2017-04-24_10-43-51,1493030631.182812,deca010000000003,0.775,-1.699,0.286,0.233,0.047,-0.509,51.491453015879,7.412226329603,0.286,113.802,0.003,
2017-04-24_10-43-51,1493030631.197186,deca010000000004,1.922,1.956,0.394,-0.045,0.068,-0.247,51.491473918525,7.412270148579,0.394,1.694,0.001,
2017-04-24_10-43-51,1493030631.211630,deca010000000005,1.349,0.195,0.382,0.052,0.221,-0.285,51.491463952546,7.412248791638,0.382,48.518,0.012,
2017-04-24_10-43-51,1493030631.216048,deca010000000003,0.776,-1.690,0.256,0.214,0.069,-0.547,51.491453078725,7.412226413765,0.256,107.203,0.007,
2017-04-24_10-43-51,1493030631.219750,deca010000000004,1.925,1.963,0.381,-0.034,0.084,-0.263,51.491473959291,7.412270231743,0.381,12.989,0.002,
2017-04-24_10-43-51,1493030631.223304,deca010000000005,1.345,0.191,0.365,0.039,0.203,-0.320,51.491463946198,7.412248713826,0.365,46.155,0.002,
2017-04-24_10-43-51,1493030631.237629,deca010000000004,1.923,1.960,0.374,-0.037,0.071,-0.272,51.491473944601,7.412270190603,0.374,7.916,0.001,
2017-04-24_10-43-51,1493030631.244997,deca010000000003,0.779,-1.683,0.222,0.204,0.081,-0.592,51.491453111187,7.412226497251,0.222,103.407,0.006,
2017-04-24_10-43-51,1493030631.252423,deca010000000005,1.347,0.191,0.341,0.042,0.186,-0.360,51.491463938045,7.412248731213,0.341,48.030,0.006,
2017-04-24_10-43-51,1493030631.256026,deca010000000004,1.920,1.960,0.361,-0.043,0.068,-0.289,51.491473963972,7.412270158371,0.361,3.015,0.001,
2017-04-24_10-43-51,1493030631.268936,deca010000000003,0.777,-1.677,0.184,0.185,0.095,-0.647,51.491453169896,7.412226529090,0.184,98.073,0.005,
2017-04-24_10-43-51,1493030631.281570,deca010000000003,0.772,-1.672,0.158,0.167,0.106,-0.689,51.491453231115,7.412226519936,0.158,92.602,0.002,
2017-04-24_10-43-51,1493030631.281570,deca010000000005,1.345,0.193,0.317,0.036,0.177,-0.394,51.491463959678,7.412248727763,0.317,46.628,0.005,
2017-04-24_10-43-51,1493030631.303476,deca010000000003,0.771,-1.672,0.128,0.156,0.101,-0.724,51.491453235451,7.412226509485,0.128,92.295,0.004,
2017-04-24_10-43-51,1493030631.303476,deca010000000005,1.343,0.189,0.291,0.029,0.155,-0.437,51.491463940203,7.412248666122,0.291,45.766,0.003,
2017-04-24_10-43-51,1493030631.307735,deca010000000004,1.919,1.962,0.334,-0.039,0.064,-0.314,51.491473987178,7.412270162182,0.334,4.078,0.004,
2017-04-24_10-43-51,1493030631.314890,deca010000000003,0.771,-1.672,0.105,0.150,0.097,-0.756,51.491453237579,7.412226495332,0.105,92.268,0.002,
2017-04-24_10-43-51,1493030631.333050,deca010000000005,1.345,0.179,0.263,0.033,0.118,-0.472,51.491463864020,7.412248611148,0.263,50.979,0.004,
