iso,unix,id,motive_x,motive_y,motive_z,motive_vx,motive_vy,motive_vz,motive_ax,motive_ay,motive_az,motiveSlow_x,motiveSlow_y,motiveSlow_z,motiveSlow_vx,motiveSlow_vy,motiveSlow_vz,motiveSlow_ax,motiveSlow_ay,motiveSlow_az,atlas_x,atlas_y,atlas_z,atlas_vx,atlas_vy,atlas_vz,atlas_ax,atlas_ay,atlas_az,odom_x,odom_y,odom_z,odom_vx,odom_vy,odom_vz,odom_ax,odom_ay,odom_az,motive_roll,motive_pitch,motive_yaw,motive_qx,motive_qy,motive_qz,motive_qw,odom_roll,odom_pitch,odom_yaw,odom_qx,odom_qy,odom_qz,odom_qw,way_x,way_y,way_z,way_a,pos_ox,pos_oy,pos_lx,pos_ly,pos_px,pos_py,pos_ix,pos_iy,pos_dx,pos_dy,vel_ox,vel_oy,vel_lx,vel_ly,vel_px,vel_py,vel_ix,vel_iy,vel_dx,vel_dy,
2017-02-12_16-31-53,1486917113.844563,1,1.143,0.058,1.029,-0.0019,-0.3367,-0.0005,0.2015,-0.5261,0.3648,1.143,0.061,1.029,-0.0059,-0.3329,0.0014,-0.0971,-0.0171,-0.0536,1.157,0.103,1.167,0.0778,-0.5514,-0.0203,0.0000,0.0000,0.0000,-0.049,0.005,0.985,0.0002,-0.3427,-0.0067,0.0000,0.0000,0.0000,0.0261,-0.0076,-0.0040,-0.0038,0.0130,-0.0020,-0.9999,0.0287,0.0020,-0.0000,-0.0010,-0.0144,0.0000,0.9999,1.200,-1.800,1.000,0.000,0.028346,-1.148118,0.009873,-0.399878,0.028346,-1.148118,0.000000,-0.000000,0.000000,-0.000000,0.004074,-0.024005,0.004074,-0.024005,0.003880,-0.022862,0.000000,-0.000000,0.000194,-0.001143,
2017-02-12_16-31-53,1486917113.854564,1,1.143,0.055,1.029,0.0003,-0.3325,0.0059,0.2205,0.4247,0.6413,1.143,0.061,1.029,-0.0059,-0.3329,0.0014,-0.0971,-0.0171,-0.0536,1.157,0.103,1.167,0.0778,-0.5514,-0.0203,0.0000,0.0000,0.0000,-0.049,-0.061,0.984,0.0014,-0.3291,-0.0044,0.0000,0.0000,0.0000,0.0263,-0.0076,-0.0038,-0.0038,0.0131,-0.0019,-0.9999,0.0320,-0.0051,0.0009,0.0026,-0.0160,-0.0005,0.9999,1.200,-1.800,1.000,0.000,0.025925,-1.141987,0.009078,-0.399897,0.025925,-1.141987,0.000000,-0.000000,0.000000,-0.000000,0.003756,-0.024012,0.003756,-0.024012,0.003562,-0.022869,0.000000,-0.000000,0.000194,-0.001143,
2017-02-12_16-31-53,1486917113.864550,1,1.143,0.051,1.029,0.0019,-0.3348,0.0051,0.1609,-0.2345,-0.0775,1.143,0.061,1.029,-0.0059,-0.3329,0.0014,-0.0971,-0.0171,-0.0536,1.166,0.095,1.155,0.1065,-0.5492,-0.0398,0.0000,0.0000,0.0000,-0.049,-0.061,0.984,0.0014,-0.3291,-0.0044,0.0000,0.0000,0.0000,0.0267,-0.0073,-0.0037,-0.0036,0.0134,-0.0018,-0.9999,0.0320,-0.0051,0.0009,0.0026,-0.0160,-0.0005,0.9999,1.200,-1.800,1.000,0.000,0.025925,-1.141987,0.009078,-0.399897,0.025925,-1.141987,0.000000,-0.000000,0.000000,-0.000000,0.003244,-0.029449,0.003244,-0.029449,0.003066,-0.028306,0.000000,-0.000000,0.000178,-0.001143,
2017-02-12_16-31-53,1486917113.874553,1,1.143,0.048,1.029,0.0002,-0.3321,-0.0009,-0.1729,0.2719,-0.6044,1.143,0.048,1.029,0.0001,-0.3340,0.0024,0.1500,-0.0275,0.0255,1.166,0.090,1.157,0.1000,-0.5396,-0.0368,0.0000,0.0000,0.0000,-0.049,-0.061,0.984,0.0014,-0.3291,-0.0044,0.0000,0.0000,0.0000,0.0273,-0.0071,-0.0034,-0.0035,0.0136,-0.0016,-0.9999,0.0320,-0.0051,0.0009,0.0026,-0.0160,-0.0005,0.9999,1.200,-1.800,1.000,0.000,0.020296,-1.136708,0.007141,-0.399936,0.020296,-1.136708,0.000000,-0.000000,0.000000,-0.000000,0.002445,-0.029737,0.002445,-0.029737,0.002291,-0.028321,0.000000,-0.000000,0.000153,-0.001415,
2017-02-12_16-31-53,1486917113.884554,1,1.143,0.041,1.029,-0.0056,-0.3312,-0.0030,-0.1061,0.1214,-0.1740,1.143,0.048,1.029,0.0001,-0.3340,0.0024,0.1500,-0.0275,0.0255,1.166,0.090,1.157,0.1000,-0.5396,-0.0368,0.0000,0.0000,0.0000,-0.049,-0.061,0.984,0.0014,-0.3291,-0.0044,0.0000,0.0000,0.0000,0.0269,-0.0063,-0.0031,-0.0031,0.0134,-0.0015,-0.9999,0.0320,-0.0051,0.0009,0.0026,-0.0160,-0.0005,0.9999,1.200,-1.800,1.000,0.000,0.020496,-1.133994,0.007229,-0.399935,0.020496,-1.133994,0.000000,-0.000000,0.000000,-0.000000,0.002441,-0.029737,0.002441,-0.029737,0.002326,-0.028321,0.000000,-0.000000,0.000115,-0.001416,
2017-02-12_16-31-53,1486917113.894555,1,1.143,0.038,1.029,-0.0033,-0.3340,0.0007,0.2301,-0.2801,0.3660,1.143,0.048,1.029,0.0001,-0.3340,0.0024,0.1500,-0.0275,0.0255,1.161,0.079,1.161,0.0759,-0.5362,-0.0271,0.0000,0.0000,0.0000,-0.049,-0.061,0.984,0.0014,-0.3291,-0.0044,0.0000,0.0000,0.0000,0.0266,-0.0061,-0.0030,-0.0030,0.0133,-0.0015,-0.9999,0.0320,-0.0051,0.0009,0.0026,-0.0160,-0.0005,0.9999,1.200,-1.800,1.000,0.000,0.020496,-1.133994,0.007229,-0.399935,0.020496,-1.133994,0.000000,-0.000000,0.000000,-0.000000,0.002443,-0.029737,0.002443,-0.029737,0.002326,-0.028321,0.000000,-0.000000,0.000116,-0.001416,
2017-02-12_16-31-53,1486917113.904555,1,1.143,0.035,1.029,-0.0021,-0.3308,-0.0040,0.1276,0.3161,-0.4661,1.143,0.035,1.029,-0.0039,-0.3321,-0.0019,-0.1006,0.0478,-0.1070,1.161,0.079,1.161,0.0759,-0.5362,-0.0271,0.0000,0.0000,0.0000,-0.049,-0.061,0.984,0.0014,-0.3291,-0.0044,0.0000,0.0000,0.0000,0.0268,-0.0058,-0.0029,-0.0029,0.0134,-0.0014,-0.9999,0.0320,-0.0051,0.0009,0.0026,-0.0160,-0.0005,0.9999,1.200,-1.800,1.000,0.000,0.023448,-1.127644,0.008316,-0.399914,0.023448,-1.127644,0.000000,-0.000000,0.000000,-0.000000,0.002878,-0.029728,0.002878,-0.029728,0.002761,-0.028312,0.000000,-0.000000,0.000116,-0.001416,
2017-02-12_16-31-53,1486917113.914556,1,1.143,0.031,1.029,-0.0010,-0.3337,-0.0023,0.1025,-0.2883,0.1633,1.143,0.035,1.029,-0.0039,-0.3321,-0.0019,-0.1006,0.0478,-0.1070,1.161,0.079,1.161,0.0759,-0.5362,-0.0271,0.0000,0.0000,0.0000,-0.049,-0.061,0.984,0.0014,-0.3291,-0.0044,0.0000,0.0000,0.0000,0.0269,-0.0052,-0.0029,-0.0026,0.0134,-0.0014,-0.9999,0.0320,-0.0051,0.0009,0.0026,-0.0160,-0.0005,0.9999,1.200,-1.800,1.000,0.000,0.023448,-1.127644,0.008316,-0.399914,0.023448,-1.127644,0.000000,-0.000000,0.000000,-0.000000,0.002899,-0.029728,0.002899,-0.029728,0.002761,-0.028312,0.000000,-0.000000,0.000138,-0.001416,
2017-02-12_16-31-53,1486917113.924554,1,1.143,0.025,1.029,-0.0007,-0.3304,-0.0018,0.1454,0.4610,-0.2480,1.143,0.035,1.029,-0.0039,-0.3321,-0.0019,-0.1006,0.0478,-0.1070,1.157,0.071,1.168,0.0557,-0.5291,-0.0139,0.0000,0.0000,0.0000,-0.049,-0.061,0.984,0.0014,-0.3291,-0.0044,0.0000,0.0000,0.0000,0.0258,-0.0042,-0.0026,-0.0021,0.0129,-0.0013,-0.9999,0.0320,-0.0051,0.0009,0.0026,-0.0160,-0.0005,0.9999,1.200,-1.800,1.000,0.000,0.023448,-1.127644,0.008316,-0.399914,0.023448,-1.127644,0.000000,-0.000000,0.000000,-0.000000,0.002899,-0.029728,0.002899,-0.029728,0.002761,-0.028312,0.000000,-0.000000,0.000138,-0.001416,
2017-02-12_16-31-53,1486917113.934533,1,1.143,0.021,1.029,-0.0006,-0.3302,-0.0013,0.0143,0.0211,0.0489,1.143,0.021,1.029,-0.0011,-0.3324,-0.0012,0.0693,-0.0062,0.0178,1.153,0.064,1.177,0.0384,-0.5304,0.0009,0.0000,0.0000,0.0000,-0.049,-0.061,0.984,0.0014,-0.3291,-0.0044,0.0000,0.0000,0.0000,0.0258,-0.0037,-0.0024,-0.0018,0.0129,-0.0012,-0.9999,0.0320,-0.0051,0.0009,0.0026,-0.0160,-0.0005,0.9999,1.200,-1.800,1.000,0.000,0.025947,-1.122567,0.009243,-0.399893,0.025947,-1.122567,0.000000,-0.000000,0.000000,-0.000000,0.003270,-0.029720,0.003270,-0.029720,0.003132,-0.028304,0.000000,-0.000000,0.000138,-0.001416,
